work_id,title_ja,title_en,existing_primary,existing_topic_2,existing_topic_3,ours_primary,ours_topic_2,ours_topic_3,primary_changed
https://openalex.org/W7144005558,クロバナハンショウヅル,クロバナハンショウヅル,,,,Plant Disease Resistance and Genetics,Cynara cardunculus studies,Fungal Plant Pathogen Control,True
https://openalex.org/W2724870230,"B-39)微小血管減圧術で治癒した舌咽神経痛の1例(北日本脳神経外科連合会, 第20回学術集会)","B-39)微小血管減圧術で治癒した舌咽神経痛の1例(北日本脳神経外科連合会, 第20回学術集会)",Military Technology and Strategies,Legal and Regulatory Analysis,"Linguistic, Cultural, and Literary Studies",Trigeminal Neuralgia and Treatments,Cardiac and Coronary Surgery Techniques,"Coagulation, Bradykinin, Polyphosphates, and Angioedema",True
https://openalex.org/W7145155431,Investigation of the factors affecting risk-based quality management of investigator-initiated investigational new-drug trials for unapproved anticancer drugs in Japan(審査報告),Investigation of the factors affecting risk-based quality management of investigator-initiated investigational new-drug trials for unapproved anticancer drugs in Japan(審査報告),Statistical Methods in Clinical Trials,Cancer Treatment and Pharmacology,Safe Handling of Antineoplastic Drugs,Clinical Laboratory Practices and Quality Control,Animal testing and alternatives,Pharmaceutical Quality and Counterfeiting,True
https://openalex.org/W7144967685,急性上気道狭窄のため緊急気管切開を要した2症例,急性上気道狭窄のため緊急気管切開を要した2症例,Military Technology and Strategies,Legal and Regulatory Analysis,"Linguistic, Cultural, and Literary Studies",Respiratory Support and Mechanisms,Tracheal and airway disorders,Airway Management and Intubation Techniques,True
https://openalex.org/W7144832313,布線論理によるタスクスケジューリング時間の平準化技法,布線論理によるタスクスケジューリング時間の平準化技法,Military Technology and Strategies,Legal and Regulatory Analysis,"Linguistic, Cultural, and Literary Studies",Scheduling and Timetabling Solutions,Injection Molding Process and Properties,Advanced Numerical Analysis Techniques,True
https://openalex.org/W7144259456,暮らしの「整理収納」に関する研究―高齢期におけるモノの整理収納の特性について―,暮らしの「整理収納」に関する研究―高齢期におけるモノの整理収納の特性について―,Military Technology and Strategies,Legal and Regulatory Analysis,"Linguistic, Cultural, and Literary Studies","Migration, Aging, and Tourism Studies",Technology Use by Older Adults,Older Adults Driving Studies,True
https://openalex.org/W7143925261,ミルク入りコーヒー飲料の製法と香味変化に関する感性工学的研究,ミルク入りコーヒー飲料の製法と香味変化に関する感性工学的研究,Military Technology and Strategies,Legal and Regulatory Analysis,"Linguistic, Cultural, and Literary Studies",Injection Molding Process and Properties,Biochemical Analysis and Sensing Techniques,Sensory Analysis and Statistical Methods,True
https://openalex.org/W7143784398,蔬菜の結球に関する生理，形態学的研究（第21報） : ハクサイの生長に伴うその葉面積の変化について,蔬菜の結球に関する生理，形態学的研究（第21報） : ハクサイの生長に伴うその葉面積の変化について,Military Technology and Strategies,Legal and Regulatory Analysis,"Linguistic, Cultural, and Literary Studies",Plant Reproductive Biology,Growth and nutrition in plants,Plant Physiology and Cultivation Studies,True
https://openalex.org/W7146082908,3 協議会記録（II アクティブ・ラーニングの実践報告と協議会記録・講評 : 算数科）,3 協議会記録（II アクティブ・ラーニングの実践報告と協議会記録・講評 : 算数科）,Legal and Regulatory Analysis,Military Technology and Strategies,"Linguistic, Cultural, and Literary Studies",Advanced Optimization Algorithms Research,Intelligent Tutoring Systems and Adaptive Learning,Agricultural and Financial Auditing,True
https://openalex.org/W3033990651,局部座屈を伴う組立材ブレースの座屈後履歴性状および累積変形性能 -その2 数値解析と累積変形性能評価-,局部座屈を伴う組立材ブレースの座屈後履歴性状および累積変形性能 -その2 数値解析と累積変形性能評価-,Hermeneutics and Narrative Identity,"Aging, Elder Care, and Social Issues","Health, Medicine and Society",Structural Behavior of Reinforced Concrete,Composite Structure Analysis and Optimization,Fatigue and fracture mechanics,True
